时间	风速	移速	气压
0806 17h	28m/s	6km/h	970hPa
0806 14h	28m/s	6km/h	970hPa
0806 11h	28m/s	7km/h	970hPa
0806 08h	30m/s	9km/h	970hPa
0806 05h	30m/s	8km/h	970hPa
0806 02h	30m/s	10km/h	970hPa
0805 23h	30m/s	10km/h	970hPa
0805 20h	30m/s	9km/h	970hPa
0805 17h	30m/s	10km/h	970hPa
0805 14h	30m/s	10km/h	980hPa
0805 11h	30m/s	10km/h	980hPa
0805 10h	30m/s	12km/h	980hPa
0805 09h	30m/s	12km/h	980hPa
0805 08h	30m/s	12km/h	980hPa
0805 07h	30m/s	10km/h	980hPa
0805 06h	30m/s	10km/h	980hPa
0805 05h	30m/s	10km/h	980hPa
0805 04h	33m/s	10km/h	975hPa
0805 03h	33m/s	10km/h	975hPa
0805 02h	33m/s	10km/h	975hPa
0805 01h	33m/s	10km/h	975hPa
0805 00h	33m/s	10km/h	975hPa
0804 23h	33m/s	10km/h	975hPa
0804 22h	35m/s	10km/h	970hPa
0804 21h	35m/s	10km/h	970hPa
0804 20h	35m/s	10km/h	970hPa
0804 19h	38m/s	10km/h	965hPa
0804 18h	38m/s	10km/h	965hPa
0804 17h	38m/s	10km/h	965hPa
0804 16h	38m/s	11km/h	965hPa
0804 15h	38m/s	11km/h	965hPa
0804 14h	38m/s	11km/h	965hPa
0804 13h	40m/s	10km/h	960hPa
0804 12h	40m/s	10km/h	960hPa
0804 11h	40m/s	10km/h	960hPa
0804 10h	40m/s	10km/h	960hPa
0804 08h	40m/s	10km/h	960hPa
0804 07h	42m/s	9km/h	955hPa
0804 06h	42m/s	8km/h	955hPa
0804 05h	42m/s	9km/h	955hPa
0804 04h	42m/s	6km/h	955hPa
0804 03h	42m/s	6km/h	955hPa
0804 02h	42m/s	6km/h	955hPa
0804 01h	42m/s	0km/h	955hPa
0804 00h	42m/s	0km/h	955hPa
0803 23h	42m/s	0km/h	955hPa
0803 22h	42m/s	0km/h	955hPa
0803 21h	42m/s	0km/h	955hPa
0803 20h	42m/s	0km/h	955hPa
0803 19h	45m/s	0km/h	950hPa
0803 18h	45m/s	0km/h	950hPa
0803 17h	45m/s	0km/h	950hPa
0803 16h	45m/s	0km/h	950hPa
0803 15h	45m/s	0km/h	950hPa
0803 14h	45m/s	0km/h	950hPa
0803 13h	48m/s	0km/h	945hPa
0803 12h	48m/s	0km/h	945hPa
0803 11h	48m/s	0km/h	945hPa
0803 10h	50m/s	6km/h	940hPa
0803 09h	50m/s	6km/h	940hPa
0803 08h	50m/s	6km/h	940hPa
0803 07h	50m/s	6km/h	940hPa
0803 06h	50m/s	6km/h	940hPa
0803 05h	50m/s	6km/h	940hPa
0803 04h	50m/s	9km/h	940hPa
0803 03h	50m/s	9km/h	940hPa
0803 02h	50m/s	9km/h	940hPa
0803 01h	50m/s	10km/h	940hPa
0803 00h	50m/s	10km/h	940hPa
0802 23h	50m/s	10km/h	940hPa
0802 22h	50m/s	10km/h	940hPa
0802 21h	50m/s	10km/h	940hPa
0802 20h	50m/s	10km/h	940hPa
0802 19h	50m/s	10km/h	940hPa
0802 18h	50m/s	10km/h	940hPa
0802 17h	50m/s	10km/h	940hPa
0802 16h	50m/s	10km/h	940hPa
0802 15h	50m/s	10km/h	940hPa
0802 14h	50m/s	12km/h	940hPa
0802 13h	52m/s	12km/h	935hPa
0802 12h	52m/s	12km/h	935hPa
0802 11h	52m/s	12km/h	935hPa
0802 10h	52m/s	12km/h	935hPa
0802 09h	52m/s	12km/h	935hPa
0802 08h	52m/s	12km/h	935hPa
0802 07h	52m/s	13km/h	935hPa
0802 06h	52m/s	13km/h	935hPa
0802 05h	52m/s	13km/h	935hPa
0802 02h	52m/s	13km/h	935hPa
0801 23h	52m/s	12km/h	935hPa
0801 20h	52m/s	10km/h	935hPa
0801 17h	52m/s	13km/h	935hPa
0801 14h	52m/s	13km/h	935hPa
0801 11h	52m/s	15km/h	935hPa
0801 08h	52m/s	15km/h	935hPa
0801 05h	52m/s	16km/h	935hPa
0801 02h	52m/s	14km/h	935hPa
0731 23h	52m/s	15km/h	935hPa
0731 20h	52m/s	13km/h	935hPa
0731 17h	52m/s	17km/h	935hPa
0731 14h	50m/s	17km/h	940hPa
0731 11h	48m/s	18km/h	945hPa
0731 08h	42m/s	19km/h	955hPa
0731 05h	40m/s	18km/h	960hPa
0731 02h	40m/s	20km/h	960hPa
0730 20h	40m/s	23km/h	960hPa
0730 17h	38m/s	20km/h	965hPa
0730 14h	35m/s	20km/h	970hPa
0730 08h	30m/s	22km/h	980hPa
0730 05h	28m/s	22km/h	982hPa
0730 02h	28m/s	25km/h	982hPa
0729 20h	23m/s	21km/h	990hPa
0729 17h	20m/s	19km/h	995hPa
0729 14h	20m/s	19km/h	995hPa
0729 08h	18m/s	15km/h	998hPa
0729 05h	18m/s	17km/h	998hPa
0729 02h	18m/s	17km/h	998hPa
0728 20h	18m/s	17km/h	998hPa
0728 17h	18m/s	17km/h	998hPa
0728 14h	18m/s	19km/h	998hPa
0728 08h	18m/s	16km/h	998hPa
0728 05h	18m/s	12km/h	998hPa
0728 02h	18m/s	15km/h	998hPa
