时间	风速	移速	气压
0718 20h	15m/s	18km/h	1000hPa
0718 19h	18m/s	16km/h	992hPa
0718 18h	18m/s	16km/h	992hPa
0718 17h	18m/s	16km/h	992hPa
0718 16h	18m/s	16km/h	992hPa
0718 15h	20m/s	16km/h	990hPa
0718 14h	20m/s	16km/h	985hPa
0718 13h	23m/s	19km/h	985hPa
0718 12h	23m/s	19km/h	985hPa
0718 11h	25m/s	19km/h	980hPa
0718 10h	25m/s	17km/h	980hPa
0718 09h	25m/s	17km/h	980hPa
0718 08h	25m/s	17km/h	980hPa
0718 07h	25m/s	17km/h	980hPa
0718 06h	25m/s	17km/h	980hPa
0718 05h	28m/s	17km/h	980hPa
0718 04h	28m/s	18km/h	980hPa
0718 03h	30m/s	18km/h	980hPa
0718 02h	30m/s	18km/h	980hPa
0718 01h	30m/s	18km/h	980hPa
0718 00h	33m/s	18km/h	975hPa
0717 23h	33m/s	18km/h	975hPa
0717 22h	38m/s	18km/h	965hPa
0717 21h	40m/s	18km/h	960hPa
0717 20h	40m/s	18km/h	960hPa
0717 19h	40m/s	19km/h	960hPa
0717 18h	40m/s	19km/h	960hPa
0717 17h	40m/s	19km/h	960hPa
0717 16h	40m/s	22km/h	960hPa
0717 15h	40m/s	22km/h	960hPa
0717 14h	38m/s	22km/h	960hPa
0717 13h	38m/s	20km/h	960hPa
0717 12h	35m/s	22km/h	965hPa
0717 11h	35m/s	22km/h	965hPa
0717 10h	33m/s	20km/h	970hPa
0717 09h	33m/s	20km/h	970hPa
0717 08h	33m/s	20km/h	970hPa
0717 07h	33m/s	20km/h	970hPa
0717 06h	30m/s	20km/h	980hPa
0717 05h	30m/s	20km/h	980hPa
0717 04h	30m/s	18km/h	980hPa
0717 03h	30m/s	18km/h	980hPa
0717 02h	30m/s	18km/h	980hPa
0717 01h	30m/s	15km/h	980hPa
0717 00h	30m/s	15km/h	980hPa
0716 23h	30m/s	15km/h	980hPa
0716 22h	30m/s	15km/h	980hPa
0716 21h	30m/s	16km/h	980hPa
0716 20h	30m/s	17km/h	980hPa
0716 19h	30m/s	12km/h	980hPa
0716 18h	30m/s	12km/h	980hPa
0716 17h	30m/s	13km/h	980hPa
0716 16h	28m/s	15km/h	982hPa
0716 15h	28m/s	15km/h	982hPa
0716 14h	28m/s	17km/h	982hPa
0716 13h	25m/s	15km/h	985hPa
0716 12h	25m/s	15km/h	985hPa
0716 11h	25m/s	15km/h	985hPa
0716 10h	25m/s	15km/h	985hPa
0716 09h	25m/s	15km/h	985hPa
0716 08h	25m/s	15km/h	985hPa
0716 07h	25m/s	15km/h	985hPa
0716 06h	25m/s	15km/h	985hPa
0716 05h	25m/s	15km/h	985hPa
0716 04h	25m/s	14km/h	985hPa
0716 03h	25m/s	14km/h	985hPa
0716 02h	25m/s	14km/h	985hPa
0716 01h	20m/s	14km/h	995hPa
0716 00h	20m/s	14km/h	995hPa
0715 23h	20m/s	14km/h	995hPa
0715 22h	20m/s	13km/h	995hPa
0715 21h	20m/s	12km/h	995hPa
0715 20h	20m/s	13km/h	995hPa
0715 19h	18m/s	12km/h	998hPa
0715 18h	18m/s	13km/h	998hPa
0715 17h	18m/s	13km/h	998hPa
0715 16h	18m/s	10km/h	998hPa
0715 15h	18m/s	12km/h	998hPa
0715 14h	18m/s	14km/h	998hPa
0715 13h	18m/s	14km/h	998hPa
0715 12h	18m/s	14km/h	998hPa
0715 11h	18m/s	14km/h	998hPa
0715 10h	18m/s	12km/h	998hPa
0715 09h	18m/s	14km/h	998hPa
0715 08h	18m/s	14km/h	998hPa
0715 05h	15m/s	11km/h	1000hPa
0715 02h	15m/s	8km/h	1000hPa
0714 23h	15m/s	8km/h	1000hPa
0714 20h	15m/s	6km/h	1000hPa
0714 17h	15m/s	8km/h	1000hPa
0714 14h	15m/s	9km/h	1000hPa
0714 11h	15m/s	9km/h	1000hPa
